Disease,Hospital_Type,Hospital_Name,Cost,City,Address,Contact
Ear Infection,Private,Sharavathi Hospital Subramanya,8500,Subramanya,"Temple Road, Subramanya - 574238",08257-258400
Fracture,Private,KMC Hospital Jyothi Circle,22500,Mangaluru,"Dr BR Ambedkar Circle, Balmatta, Mangaluru - 575001",0824-2871000
Fracture,Govt,Taluk Hospital Moodabidri,11500,Moodabidri,"Hospital Road, Moodabidri - 574227",0824-2386011
Cancer,Govt,Community Health Centre Kadaba,99000,Kadaba,Kadaba Town - 574221,08257-265100
Fracture,Govt,Primary Health Centre Dharmasthala,17000,Dharmasthala,Dharmasthala Town - 574216,08256-277100
UTI,Govt,Primary Health Centre Panambur,4500,Surathkal,"Panambur, Mangaluru - 575010",0824-2408001
UTI,Govt,General Hospital Puttur,4500,Puttur,"Hospital Road, Puttur - 574201",08251-230295
Typhoid,Private,Mahalasa Hospital Nelyadi,9500,Nelyadi,Nelyadi - 574221,08257-265900
UTI,Private,Srinivasa Hospital Mulki,11500,Mulki,"Main Road, Mulki - 574154",0824-2296200
Typhoid,Govt,Urban Primary Health Centre Bunder,2500,Mangaluru,"Bunder, Mangaluru - 575001",0824-2440101
Heart Disease,Private,Netravathi Hospital Uppinangady,168000,Uppinangady,"Main Road, Uppinangady - 574241",08251-232200
Skin Disease,Private,Sai Sanjeevini Hospital Kinnigoli,7000,Kinnigoli,Kinnigoli - 574150,0824-2293300
Surgery,Govt,General Hospital Puttur,46500,Puttur,"Hospital Road, Puttur - 574201",08251-230295
Skin Disease,Private,Pooja Hospital Uppinangady,8000,Uppinangady,Uppinangady - 574241,08251-232400
Liver Disease,Private,Dawa Hospital Ullal,77500,Ullal,Ullal Town Road - 574146,0824-2279200
Dengue,Private,Janatha Hospital Sullia,14000,Sullia,Sullia Town - 574239,08257-234100
Appendicitis,Private,Sai Sanjeevini Hospital Gurupura,54000,Gurupura,Gurupura - 575016,0824-2284300
Typhoid,Private,Sri Durga Hospital Bantwal,7500,Bantwal,"BC Road, Bantwal - 574219",08255-233001
Pneumonia,Govt,Government Hospital Vittal,9500,Vittal,"Main Road, Vittal - 574243",08255-231100
Gastroenteritis,Private,Sri Durgaparameshwari Hospital Moodabidri,14500,Moodabidri,Moodabidri - 574227,0824-2386600
Skin Disease,Govt,Urban Primary Health Centre Surathkal,3500,Surathkal,"NITK Campus Road, Surathkal - 575014",0824-2474055
Jaundice,Private,Father Muller Medical College Hospital,17500,Mangaluru,"Father Muller Road, Kankanady, Mangaluru - 575002",0824-2238000
Anaemia,Private,Durgaparameshwari Hospital Subramanya,13000,Subramanya,Subramanya - 574238,08257-258300
Appendicitis,Govt,Primary Health Centre Kateel,19000,Kateel,"Kateel, Dakshina Kannada - 574272",0824-2298011
Asthma,Private,Shridhar Hospital Mulki,16500,Mulki,Mulki Junction - 574154,0824-2296300
Gastroenteritis,Private,Navami Hospital Bantwal,14500,Bantwal,Bantwal - 574219,08255-232900
Dengue,Private,Netravathi Hospital Ujire,17500,Ujire,"Main Road, Ujire - 574240",08256-248200
Typhoid,Private,KVG Medical College & Hospital Puttur Road,9000,Puttur,"Sullia Road, Puttur - 574201",08251-230600
Diabetes,Govt,Government Hospital Kateel,9000,Kateel,Kateel Town - 574272,0824-2298100
Tuberculosis,Govt,Government Dispensary Bellare,6000,Bellare,Bellare Town - 574212,08257-261100
Eye Disease,Govt,Primary Health Centre Panemangalore,14000,Panemangalore,"Panemangalore, DK - 574236",0824-2239011
Pneumonia,Govt,Primary Health Centre Nelyadi,11500,Nelyadi,"Nelyadi, Kadaba Taluk - 574221",08257-265201
Typhoid,Govt,Primary Health Centre Dharmasthala,6000,Dharmasthala,Dharmasthala Town - 574216,08256-277100
Tuberculosis,Private,Alva's Health Centre Moodabidri,23500,Moodabidri,"Alva's Education Foundation, Moodabidri - 574227",0824-2386500
Fever,Govt,Primary Health Centre Subramanya,2000,Subramanya,Subramanya - 574238,08257-258100
Cancer,Private,Srinivasa Hospital Kateel,153500,Kateel,Kateel - 574272,0824-2298400
Tuberculosis,Govt,Government Hospital Mulki,5500,Mulki,"Town Road, Mulki - 574154",0824-2296022
Asthma,Govt,Government Hospital Bantwal PHC,10000,Bantwal,"Bantwal Town, DK - 574219",08255-232100
Fever,Govt,Primary Health Centre Uppinangady,2000,Uppinangady,Uppinangady Town - 574241,08251-232100
Thyroid Disorder,Govt,Government Hospital Venur,6000,Venur,"Venur, Belthangady Taluk - 574237",08256-262011
Dengue,Govt,Primary Health Centre Kinnigoli,7500,Kinnigoli,"Kinnigoli, Mangaluru Taluk - 574150",0824-2293011
Gastroenteritis,Private,Gurupura Hospital,15500,Gurupura,"Main Road, Gurupura - 575016",0824-2284200
Pregnancy,Private,Mahalasa Hospital Nelyadi,67000,Nelyadi,Nelyadi - 574221,08257-265900
Fever,Govt,Primary Health Centre Nelyadi,1500,Nelyadi,"Nelyadi, Kadaba Taluk - 574221",08257-265201
Thyroid Disorder,Private,Dawa Hospital Ullal,12500,Ullal,Ullal Town Road - 574146,0824-2279200
Hypertension,Govt,Government Ayurvedic Dispensary Puttur,4500,Puttur,"Market Road, Puttur - 574201",08251-230500
Heart Disease,Private,Sri Krishna Hospital Sullia,160500,Sullia,Sullia Main Road - 574239,08257-234400
Fever,Govt,Community Health Centre Belthangady,2000,Belthangady,Belthangady Town - 574214,08256-230100
Fracture,Private,Kukke Hospital Subramanya,30500,Subramanya,"Main Road, Subramanya - 574238",08257-258200
Fracture,Private,Bellare Hospital,30500,Bellare,"Main Road, Bellare - 574212",08257-261200
Appendicitis,Govt,Urban Primary Health Centre Surathkal,23500,Surathkal,"NITK Campus Road, Surathkal - 575014",0824-2474055
Typhoid,Private,Narayana Hospital Panambur,9000,Panambur,"Baikampady, Panambur - 575011",0824-2408300
Surgery,Private,Samanvaya Hospital Bantwal,63000,Bantwal,Bantwal Town Road - 574219,08255-232700
Hypertension,Private,Panchalingeshwara Hospital Vittal,10500,Vittal,Vittal Town - 574243,08255-231300
Typhoid,Govt,Port Trust Hospital Panambur,3000,Panambur,"NMPT Colony, Panambur - 575010",0824-2407700
Liver Disease,Private,Netravathi Hospital Uppinangady,66500,Uppinangady,"Main Road, Uppinangady - 574241",08251-232200
Dengue,Govt,Primary Health Centre Ullal,4500,Ullal,"Chitrapu, Ullal - 574146",0824-2279022
UTI,Private,Kateel Medical Centre,12000,Kateel,"Main Road, Kateel - 574272",0824-2298300
Gastroenteritis,Private,Prakash Hospital Surathkal,10000,Surathkal,"NH 66 Surathkal, Mangaluru - 575014",0824-2476001
UTI,Govt,Government Hospital Uppinangady,5500,Uppinangady,"Uppinangady, Puttur Taluk - 574241",08251-232011
Eye Disease,Private,Srinivas Institute of Medical Sciences,34500,Mangaluru,"Mukka, Surathkal, Mangaluru - 574146",0824-2477000
Malaria,Govt,Primary Health Centre Panemangalore,5000,Panemangalore,"Panemangalore, DK - 574236",0824-2239011
Kidney Stone,Private,Sri Krishna Hospital Sullia,41000,Sullia,Sullia Main Road - 574239,08257-234400
Thyroid Disorder,Govt,Primary Health Centre Nanthoor,4500,Nanthoor,"Nanthoor, Bantwal Taluk - 574219",08255-239011
Malaria,Private,Durgaparameshwari Hospital Subramanya,14000,Subramanya,Subramanya - 574238,08257-258300
Pregnancy,Govt,Taluk Hospital BC Road Bantwal,17000,Bantwal,"BC Road, Bantwal - 574219",08255-232024
Cancer,Govt,Government Hospital Kukke Subramanya,107500,Subramanya,Subramanya Town - 574238,08257-258011
Anaemia,Private,Nethravathi Medical Centre Bellare,10500,Bellare,Bellare - 574212,08257-261300
Jaundice,Private,Nelyadi Clinic & Hospital,16000,Nelyadi,"Main Road, Nelyadi - 574221",08257-265800
Cancer,Private,Srinivasa Clinic Panemangalore,176000,Panemangalore,Panemangalore - 574236,0824-2239300
Tuberculosis,Private,Coastal Nursing Home Panemangalore,17000,Panemangalore,Panemangalore - 574236,0824-2239400
Ear Infection,Govt,Primary Health Centre Ullal,3000,Ullal,"Chitrapu, Ullal - 574146",0824-2279022
Fracture,Govt,Government Ayurvedic Hospital Mangaluru,16000,Mangaluru,"Court Road, Mangaluru - 575001",0824-2426555
Surgery,Govt,Government Hospital Uppinangady,55500,Uppinangady,"Uppinangady, Puttur Taluk - 574241",08251-232011
Malaria,Govt,Community Health Centre Kadaba,6000,Kadaba,Kadaba Town - 574221,08257-265100
Asthma,Govt,Government Hospital Kateel,10000,Kateel,Kateel Town - 574272,0824-2298100
Kidney Stone,Private,Coastal Nursing Home Panemangalore,35000,Panemangalore,Panemangalore - 574236,0824-2239400
Surgery,Govt,Primary Health Centre Vittal,48000,Vittal,"Vittal Town, Bantwal Taluk - 574243",08255-231011
Heart Disease,Govt,Urban Primary Health Centre Surathkal,76500,Surathkal,"NITK Campus Road, Surathkal - 575014",0824-2474055
Eye Disease,Private,Durgaparameshwari Hospital Kateel,40000,Kateel,"Temple Road, Kateel - 574272",0824-2298200
Hypertension,Private,Sri Durgaparameshwari Hospital Moodabidri,15000,Moodabidri,Moodabidri - 574227,0824-2386600
Malaria,Govt,Primary Health Centre Dharmasthala,7500,Dharmasthala,Dharmasthala Town - 574216,08256-277100
Jaundice,Private,Udupi Hospital Ujire,21000,Ujire,Ujire - 574240,08256-248300
Asthma,Private,Sealand Hospital Ullal,19000,Ullal,"Someshwara, Ullal - 574146",0824-2278001
Hypertension,Private,Narayana Hrudayalaya Surathkal,11000,Surathkal,"NITK Road, Surathkal, Mangaluru - 575014",0824-2470000
Diabetes,Private,KVG Medical College Hospital Sullia,16500,Sullia,"Kurunjibag, Sullia - 574327",08257-232608
Anaemia,Govt,Urban Primary Health Centre Kulur,4000,Mangaluru,"Kulur, Mangaluru - 575013",0824-2287011
Ear Infection,Private,Durgaparameshwari Hospital Kadaba,6500,Kadaba,Kadaba - 574221,08257-265600
Skin Disease,Govt,Government Hospital Ullal,3500,Ullal,"Ullal Town, Dakshina Kannada - 574146",0824-2279011
Dengue,Govt,Community Health Centre Dharmasthala,6500,Dharmasthala,Dharmasthala - 574216,08256-277011
Pregnancy,Govt,Primary Health Centre Ujire,21000,Ujire,"Ujire, Belthangady Taluk - 574240",08256-248011
Pneumonia,Private,Sealand Hospital Ullal,21500,Ullal,"Someshwara, Ullal - 574146",0824-2278001
Asthma,Private,Sri Krishna Hospital Sullia,15500,Sullia,Sullia Main Road - 574239,08257-234400
Cancer,Private,Bhagavathi Hospital Belthangady,202000,Belthangady,Belthangady - 574214,08256-230600
Thyroid Disorder,Private,Srinivas Institute of Medical Sciences,16000,Mangaluru,"Mukka, Surathkal, Mangaluru - 574146",0824-2477000
Cancer,Govt,Community Health Centre Moodabidri,102500,Moodabidri,Moodabidri Town - 574227,0824-2386100
Fever,Govt,Government Ayurvedic Hospital Mangaluru,1500,Mangaluru,"Court Road, Mangaluru - 575001",0824-2426555
Cancer,Private,Shanthi Hospital Gurupura,195000,Gurupura,Gurupura - 575016,0824-2284400
UTI,Private,Shree Durgaparameshwari Hospital BC Road,9000,Bantwal,"BC Road, Bantwal - 574219",08255-232600
Pneumonia,Private,Sahyadri Medical Centre Venur,25500,Venur,Venur - 574237,08256-262300
Pneumonia,Govt,Government Hospital Uppinangady,12000,Uppinangady,"Uppinangady, Puttur Taluk - 574241",08251-232011
Malaria,Private,Dharmasthala Rural Hospital,12500,Dharmasthala,"Temple Road, Dharmasthala - 574216",08256-277555
Diabetes,Govt,Government Dispensary Nelyadi,8500,Nelyadi,Nelyadi Town - 574221,08257-265300
UTI,Govt,Primary Health Centre Subramanya,4500,Subramanya,Subramanya - 574238,08257-258100
Malaria,Govt,Primary Health Centre Vittal,4000,Bantwal,"Vittal, Bantwal Taluk - 574243",08255-231011
Pneumonia,Govt,Community Health Centre Ullal,9500,Ullal,Ullal Main Road - 574146,0824-2279100
Pneumonia,Private,Sri Krishna Hospital Sullia,24500,Sullia,Sullia Main Road - 574239,08257-234400
UTI,Govt,Primary Health Centre Nanthoor,4500,Nanthoor,"Nanthoor, Bantwal Taluk - 574219",08255-239011
Surgery,Private,Shridhar Hospital Mulki,79000,Mulki,Mulki Junction - 574154,0824-2296300
Liver Disease,Private,Navami Hospital Bantwal,87000,Bantwal,Bantwal - 574219,08255-232900
Eye Disease,Private,Shree Durgaparameshwari Hospital BC Road,16500,Bantwal,"BC Road, Bantwal - 574219",08255-232600
Anaemia,Private,Nelyadi Clinic & Hospital,8500,Nelyadi,"Main Road, Nelyadi - 574221",08257-265800
Surgery,Govt,Primary Health Centre Kateel,38000,Kateel,"Kateel, Dakshina Kannada - 574272",0824-2298011
Appendicitis,Govt,Community Health Centre Belthangady,22500,Belthangady,Belthangady Town - 574214,08256-230100
UTI,Private,Sri Sai Hospital Nanthoor,9000,Nanthoor,Nanthoor - 574219,08255-239400
Anaemia,Private,Shree Kshethra Dharmasthala RDPR Hospital,9000,Dharmasthala,Dharmasthala - 574216,08256-277444
Skin Disease,Private,Panemangalore Hospital,5500,Panemangalore,"Main Road, Panemangalore - 574236",0824-2239200
Pregnancy,Govt,Primary Health Centre Vittal,22000,Vittal,"Vittal Town, Bantwal Taluk - 574243",08255-231011
UTI,Private,Durgaparameshwari Hospital Kadaba,10500,Kadaba,Kadaba - 574221,08257-265600
Tuberculosis,Govt,Community Health Centre Gurupura,6500,Gurupura,Gurupura - 575016,0824-2284100
Heart Disease,Private,Nethravathi Medical Centre Bellare,136500,Bellare,Bellare - 574212,08257-261300
Fever,Private,Dawa Hospital Ullal,4500,Ullal,Ullal Town Road - 574146,0824-2279200
Kidney Stone,Private,Coastal Care Hospital Panambur,38500,Panambur,Baikampady Industrial Area - 575011,0824-2408400
Eye Disease,Private,Srinivasa Hospital Panambur,37000,Panambur,"Panambur Road, Mangaluru - 575010",0824-2408200
Tuberculosis,Govt,Government Dispensary Nelyadi,7000,Nelyadi,Nelyadi Town - 574221,08257-265300
Asthma,Private,Udupi Hospital Ujire,18500,Ujire,Ujire - 574240,08256-248300
Ear Infection,Govt,Government Hospital Ullal,2000,Ullal,"Ullal Town, Dakshina Kannada - 574146",0824-2279011
Heart Disease,Private,Shri Dharmasthala Manjunatheshwara Hospital Dharmasthala,172000,Belthangady,Dharmasthala - 574216,08256-277222
Jaundice,Govt,Community Health Centre Dharmasthala,7500,Dharmasthala,Dharmasthala - 574216,08256-277011
Liver Disease,Govt,Primary Health Centre Bellare,39500,Sullia,"Bellare, Sullia Taluk - 574212",08257-233200
Thyroid Disorder,Govt,Urban Primary Health Centre Kavoor,6500,Mangaluru,"Kavoor, Mangaluru - 574143",0824-2285033
Gastroenteritis,Private,Durgaparameshwari Hospital Subramanya,12000,Subramanya,Subramanya - 574238,08257-258300
Hypertension,Private,Canara Hospital Puttur,18000,Puttur,Puttur Main Road - 574201,08251-231500
Heart Disease,Private,Durgaparameshwari Hospital Subramanya,158500,Subramanya,Subramanya - 574238,08257-258300
Fever,Private,Mahalasa Hospital Nelyadi,5000,Nelyadi,Nelyadi - 574221,08257-265900
Typhoid,Govt,Community Health Centre Sullia,5000,Sullia,Sullia Town - 574239,08257-233100
Malaria,Govt,Urban Primary Health Centre Surathkal,5000,Surathkal,"NITK Campus Road, Surathkal - 575014",0824-2474055
Dengue,Govt,Primary Health Centre Panemangalore,6000,Panemangalore,"Panemangalore, DK - 574236",0824-2239011
Ear Infection,Govt,Government Hospital Surathkal,2500,Surathkal,"Surathkal, Mangaluru - 575014",0824-2474133
Cancer,Private,Dharmasthala Rural Hospital,172500,Dharmasthala,"Temple Road, Dharmasthala - 574216",08256-277555
Pregnancy,Private,Shridhar Hospital Mulki,62500,Mulki,Mulki Junction - 574154,0824-2296300
Surgery,Private,Coastal Hospital Surathkal,69000,Surathkal,"Surathkal Road, Mangaluru - 575014",0824-2478002
Kidney Stone,Private,Sharavathi Hospital Subramanya,36000,Subramanya,"Temple Road, Subramanya - 574238",08257-258400
Heart Disease,Private,SDM Medical College Hospital Ujire,164000,Ujire,"SDM Campus, Ujire - 574240",08256-248500
Liver Disease,Private,Coastal Hospital Kinnigoli,66500,Kinnigoli,Kinnigoli - 574150,0824-2293400
Fever,Govt,Government Dispensary Bellare,2500,Bellare,Bellare Town - 574212,08257-261100
Surgery,Govt,Community Health Sub-Centre Panemangalore,47500,Panemangalore,Panemangalore - 574236,0824-2239100
Tuberculosis,Govt,Port Trust Hospital Panambur,5500,Panambur,"NMPT Colony, Panambur - 575010",0824-2407700
Eye Disease,Govt,Government Dispensary Nanthoor,11500,Nanthoor,Nanthoor - 574219,08255-239100
Kidney Stone,Private,SDM Medical College Hospital Ujire,40500,Ujire,"SDM Campus, Ujire - 574240",08256-248500
Dengue,Private,Bhagavathi Hospital Belthangady,12000,Belthangady,Belthangady - 574214,08256-230600
Fracture,Govt,Government Hospital Kateel,12000,Kateel,Kateel Town - 574272,0824-2298100
Diabetes,Private,Shri Dharmasthala Manjunatheshwara Hospital Dharmasthala,14000,Belthangady,Dharmasthala - 574216,08256-277222
Skin Disease,Govt,Government Hospital Venur,3500,Venur,"Venur, Belthangady Taluk - 574237",08256-262011
Heart Disease,Govt,Community Health Centre Puttur,85500,Puttur,Puttur Town - 574201,08251-230300
Fever,Private,Coastal Hospital Kinnigoli,4000,Kinnigoli,Kinnigoli - 574150,0824-2293400
Ear Infection,Govt,Community Health Centre Kadaba,4500,Kadaba,Kadaba Town - 574221,08257-265100
Pneumonia,Private,Dharmasthala Rural Hospital,25500,Dharmasthala,"Temple Road, Dharmasthala - 574216",08256-277555
Asthma,Private,Coastal Nursing Home Panemangalore,13000,Panemangalore,Panemangalore - 574236,0824-2239400
Anaemia,Private,Durgaparameshwari Hospital Kateel,12500,Kateel,"Temple Road, Kateel - 574272",0824-2298200
Liver Disease,Govt,Primary Health Centre Bellare,33000,Bellare,"Bellare, Sullia Taluk - 574212",08257-261011
Liver Disease,Govt,Primary Health Centre Kinnigoli,40500,Kinnigoli,"Kinnigoli, Mangaluru Taluk - 574150",0824-2293011
Gastroenteritis,Private,Bellare Hospital,8500,Bellare,"Main Road, Bellare - 574212",08257-261200
Thyroid Disorder,Private,Kinnigoli Hospital,14000,Kinnigoli,"Main Road, Kinnigoli - 574150",0824-2293200
Pneumonia,Private,Sri Durgaparameshwari Hospital Moodabidri,22500,Moodabidri,Moodabidri - 574227,0824-2386600
Skin Disease,Private,KVG Medical College Hospital Sullia,11500,Sullia,"Kurunjibag, Sullia - 574327",08257-232608
Cancer,Govt,Government Ayurvedic Hospital Mangaluru,100000,Mangaluru,"Court Road, Mangaluru - 575001",0824-2426555
Typhoid,Private,Durgaparameshwari Hospital Subramanya,11500,Subramanya,Subramanya - 574238,08257-258300
Anaemia,Private,Netravathi Hospital Ujire,12500,Ujire,"Main Road, Ujire - 574240",08256-248200
UTI,Govt,Primary Health Centre Dharmasthala,4000,Dharmasthala,Dharmasthala Town - 574216,08256-277100
Pneumonia,Govt,Primary Health Centre Panambur,11500,Panambur,"Panambur Beach Road, Mangaluru - 575010",0824-2408001
Tuberculosis,Govt,Primary Health Centre Vittal,3500,Bantwal,"Vittal, Bantwal Taluk - 574243",08255-231011
Thyroid Disorder,Govt,Community Health Centre Kadaba,4500,Kadaba,Kadaba Town - 574221,08257-265100
Malaria,Private,Nelyadi Clinic & Hospital,12500,Nelyadi,"Main Road, Nelyadi - 574221",08257-265800
Anaemia,Private,Coastal Hospital Kinnigoli,10000,Kinnigoli,Kinnigoli - 574150,0824-2293400
Diabetes,Govt,Government Hospital Kukke Subramanya,9000,Subramanya,Subramanya Town - 574238,08257-258011
Pregnancy,Private,Vittal Hospital,66000,Vittal,Vittal Main Road - 574243,08255-231200
Typhoid,Govt,Government Hospital Kukke Subramanya,5500,Subramanya,Subramanya Town - 574238,08257-258011
Heart Disease,Govt,Government Hospital Bantwal PHC,79500,Bantwal,"Bantwal Town, DK - 574219",08255-232100
Anaemia,Private,Sharada Hospital Puttur,13000,Puttur,Puttur - 574201,08251-231400
Anaemia,Govt,Community Health Centre Gurupura,5500,Gurupura,Gurupura - 575016,0824-2284100
Jaundice,Govt,Primary Health Centre Gurupura,9500,Gurupura,"Gurupura, Mangaluru Taluk - 575016",0824-2284011
Heart Disease,Govt,Primary Health Centre Gurupura,83000,Gurupura,"Gurupura, Mangaluru Taluk - 575016",0824-2284011
Eye Disease,Private,Ullal Nursing Home,27500,Ullal,"Main Road, Ullal - 574146",0824-2279400
Asthma,Govt,Government Hospital Ujire,7500,Ujire,Ujire Town - 574240,08256-248100
Appendicitis,Govt,Community Health Centre Gurupura,25500,Gurupura,Gurupura - 575016,0824-2284100
Eye Disease,Govt,Community Health Sub-Centre Kinnigoli,14500,Kinnigoli,Kinnigoli Town - 574150,0824-2293100
Thyroid Disorder,Private,Sahyadri Clinic Bellare,15500,Bellare,Bellare - 574212,08257-261400
Heart Disease,Private,Shridhar Hospital Mulki,142000,Mulki,Mulki Junction - 574154,0824-2296300
Liver Disease,Govt,Community Health Sub-Centre Panemangalore,35000,Panemangalore,Panemangalore - 574236,0824-2239100
Dengue,Private,Sai Sanjeevini Hospital Kinnigoli,12000,Kinnigoli,Kinnigoli - 574150,0824-2293300
Diabetes,Govt,Community Health Centre Mulki,8000,Mulki,"Mulki, Dakshina Kannada - 574154",0824-2296011
Fever,Govt,Primary Health Centre Vittal,1500,Bantwal,"Vittal, Bantwal Taluk - 574243",08255-231011
Kidney Stone,Govt,Primary Health Centre Paladka,22500,Mulki,"Paladka, Mulki - 574154",0824-2296100
Malaria,Private,Narayana Hospital Panambur,13000,Panambur,"Baikampady, Panambur - 575011",0824-2408300
Cancer,Private,Pooja Hospital Uppinangady,197500,Uppinangady,Uppinangady - 574241,08251-232400
Skin Disease,Govt,Government Hospital Mulki,2500,Mulki,"Town Road, Mulki - 574154",0824-2296022
Malaria,Govt,Urban Primary Health Centre Kavoor,6000,Mangaluru,"Kavoor, Mangaluru - 574143",0824-2285033
Appendicitis,Private,Srinivasa Hospital Kadaba,52500,Kadaba,"Main Road, Kadaba - 574221",08257-265500
Liver Disease,Govt,Government Hospital Kukke Subramanya,22500,Subramanya,Subramanya Town - 574238,08257-258011
Fracture,Govt,Primary Health Centre Panemangalore,14000,Panemangalore,"Panemangalore, DK - 574236",0824-2239011
Gastroenteritis,Private,Narayana Hospital Panambur,16000,Panambur,"Baikampady, Panambur - 575011",0824-2408300
Diabetes,Govt,Government Hospital Ujire,6500,Ujire,Ujire Town - 574240,08256-248100
Dengue,Govt,Government Hospital Venur,8000,Venur,"Venur, Belthangady Taluk - 574237",08256-262011
Ear Infection,Private,Srinivasa Clinic Panemangalore,9000,Panemangalore,Panemangalore - 574236,0824-2239300
Diabetes,Private,Shanthi Hospital Gurupura,17000,Gurupura,Gurupura - 575016,0824-2284400
Thyroid Disorder,Govt,Port Trust Hospital Panambur,6500,Panambur,"NMPT Colony, Panambur - 575010",0824-2407700
Fracture,Private,Janatha Hospital Sullia,34000,Sullia,Sullia Town - 574239,08257-234100
Kidney Stone,Govt,Primary Health Centre Bellare,17500,Bellare,"Bellare, Sullia Taluk - 574212",08257-261011
Jaundice,Private,SDM Ayurvedic Hospital Dharmasthala,19500,Dharmasthala,Dharmasthala - 574216,08256-277333
Hypertension,Govt,Community Health Centre Ullal,8000,Ullal,Ullal Main Road - 574146,0824-2279100
Asthma,Govt,Government Hospital Venur,8500,Venur,"Venur, Belthangady Taluk - 574237",08256-262011
Skin Disease,Private,Sahyadri Clinic Bellare,11000,Bellare,Bellare - 574212,08257-261400
Thyroid Disorder,Govt,Primary Health Centre Guthigar,5000,Sullia,"Guthigar, Sullia - 574239",08257-233300
Thyroid Disorder,Govt,Government Hospital Kateel,6000,Kateel,Kateel Town - 574272,0824-2298100
Gastroenteritis,Private,Srinivasa Hospital Puttur,12000,Puttur,"KS Road, Puttur - 574201",08251-231000
Appendicitis,Govt,Primary Health Centre Panemangalore,25000,Panemangalore,"Panemangalore, DK - 574236",0824-2239011
